________                                                     ______   
___  __ \_____ ____________________ _______ _____________    ___  /__________     __  
__  /_/ /  __ `/_  ___/_  ___/  __ `/_  __ `/  _ \_  ___/    __  /_  _ \  __ \   /_/  
_  ____// /_/ /_(__  )_(__  )/ /_/ /_  /_/ //  __/(__  )     _  / /  __/ /_/ /   __   
/_/     \__,_/ /____/ /____/ \__,_/ _\__, / \___//____/      /_/  \___/\____/   /_/   
                                   /____/                                            
       ~+

                *       +
          '                  |
      ()    .-.,="``"=.    - o -
            '=/_       \     |
         *   |  '=._    |
              \     `=./`,        '
           .   '=.__.=' `='      *
  +                         +
       O      *        '       .

02/03/2023 09:09:03 => 09:20:13 | SARSAT-07 | NOAA 15
02/03/2023 09:11:29 => 09:21:49 | SARSAT-10 | NOAA 18
02/03/2023 10:34:11 => 10:46:58 | SARSAT-13 | METOP-B
02/03/2023 10:52:03 => 11:05:47 | SARSAT-10 | NOAA 18
02/03/2023 10:52:14 => 10:59:15 | SARSAT-12 | NOAA 19
02/03/2023 12:15:01 => 12:22:00 | COSPAS-14 | METEOR M2-2
02/03/2023 12:20:11 => 12:21:10 | SARSAT-13 | METOP-B
02/03/2023 12:35:13 => 12:44:04 | SARSAT-10 | NOAA 18
02/03/2023 13:52:17 => 14:05:42 | COSPAS-14 | METEOR M2-2
02/03/2023 15:35:21 => 15:46:45 | COSPAS-14 | METEOR M2-2
02/03/2023 17:20:36 => 17:31:33 | SARSAT-07 | NOAA 15
02/03/2023 17:24:24 => 17:30:22 | SARSAT-12 | NOAA 19
02/03/2023 18:48:23 => 18:56:07 | SARSAT-13 | METOP-B
02/03/2023 19:00:22 => 19:14:02 | SARSAT-07 | NOAA 15
02/03/2023 19:00:58 => 19:14:15 | SARSAT-12 | NOAA 19
02/03/2023 20:26:05 => 20:39:35 | SARSAT-13 | METOP-B
02/03/2023 20:43:22 => 20:55:26 | SARSAT-12 | NOAA 19
02/03/2023 20:44:59 => 20:57:26 | SARSAT-10 | NOAA 18
02/03/2023 20:46:29 => 20:53:16 | SARSAT-07 | NOAA 15
02/03/2023 22:09:30 => 22:20:27 | SARSAT-13 | METOP-B
02/03/2023 22:26:17 => 22:39:17 | SARSAT-10 | NOAA 18
03/03/2023 02:19:32 => 02:32:00 | COSPAS-14 | METEOR M2-2
03/03/2023 04:01:04 => 04:14:01 | COSPAS-14 | METEOR M2-2
03/03/2023 05:46:04 => 05:49:23 | COSPAS-14 | METEOR M2-2
03/03/2023 05:48:25 => 05:54:39 | SARSAT-07 | NOAA 15
03/03/2023 07:27:26 => 07:41:04 | SARSAT-07 | NOAA 15
03/03/2023 07:28:32 => 07:39:56 | SARSAT-12 | NOAA 19
03/03/2023 08:53:18 => 09:06:02 | SARSAT-13 | METOP-B
03/03/2023 09:09:29 => 09:22:47 | SARSAT-12 | NOAA 19
03/03/2023 09:09:52 => 09:20:57 | SARSAT-07 | NOAA 15
03/03/2023 09:12:14 => 09:22:41 | SARSAT-10 | NOAA 18
03/03/2023 10:34:59 => 10:47:44 | SARSAT-13 | METOP-B
03/03/2023 10:52:51 => 11:06:34 | SARSAT-10 | NOAA 18
03/03/2023 10:53:03 => 10:59:57 | SARSAT-12 | NOAA 19
03/03/2023 12:15:42 => 12:22:51 | COSPAS-14 | METEOR M2-2
03/03/2023 12:36:03 => 12:44:46 | SARSAT-10 | NOAA 18
03/03/2023 13:53:04 => 14:06:31 | COSPAS-14 | METEOR M2-2
03/03/2023 15:36:12 => 15:47:31 | COSPAS-14 | METEOR M2-2
03/03/2023 17:21:21 => 17:32:22 | SARSAT-07 | NOAA 15
03/03/2023 17:25:06 => 17:31:11 | SARSAT-12 | NOAA 19
03/03/2023 18:49:04 => 18:56:58 | SARSAT-13 | METOP-B
03/03/2023 19:01:10 => 19:14:50 | SARSAT-07 | NOAA 15
03/03/2023 19:01:44 => 19:15:02 | SARSAT-12 | NOAA 19
03/03/2023 20:26:52 => 20:40:23 | SARSAT-13 | METOP-B
03/03/2023 20:44:11 => 20:56:12 | SARSAT-12 | NOAA 19
03/03/2023 20:45:44 => 20:58:15 | SARSAT-10 | NOAA 18
03/03/2023 20:47:26 => 20:53:58 | SARSAT-07 | NOAA 15
03/03/2023 22:10:22 => 22:21:13 | SARSAT-13 | METOP-B
03/03/2023 22:27:07 => 22:40:04 | SARSAT-10 | NOAA 18
04/03/2023 02:20:19 => 02:32:51 | COSPAS-14 | METEOR M2-2
04/03/2023 04:01:53 => 04:14:47 | COSPAS-14 | METEOR M2-2
04/03/2023 05:47:03 => 05:49:57 | COSPAS-14 | METEOR M2-2
04/03/2023 05:49:06 => 05:55:36 | SARSAT-07 | NOAA 15
