________                                                     ______   
___  __ \_____ ____________________ _______ _____________    ___  /__________     __  
__  /_/ /  __ `/_  ___/_  ___/  __ `/_  __ `/  _ \_  ___/    __  /_  _ \  __ \   /_/  
_  ____// /_/ /_(__  )_(__  )/ /_/ /_  /_/ //  __/(__  )     _  / /  __/ /_/ /   __   
/_/     \__,_/ /____/ /____/ \__,_/ _\__, / \___//____/      /_/  \___/\____/   /_/   
                                   /____/                                            
       ~+

                *       +
          '                  |
      ()    .-.,="``"=.    - o -
            '=/_       \     |
         *   |  '=._    |
              \     `=./`,        '
           .   '=.__.=' `='      *
  +                         +
       O      *        '       .

20/02/2023 12:30:48 => 12:38:42 | COSPAS-14 | METEOR M2-2
20/02/2023 12:38:25 => 12:46:51 | SARSAT-10 | NOAA 18
20/02/2023 14:07:24 => 14:20:09 | COSPAS-14 | METEOR M2-2
20/02/2023 15:49:41 => 15:58:51 | COSPAS-14 | METEOR M2-2
20/02/2023 17:05:28 => 17:14:01 | SARSAT-07 | NOAA 15
20/02/2023 18:05:03 => 18:15:12 | SARSAT-12 | NOAA 19
20/02/2023 18:42:23 => 18:55:05 | SARSAT-07 | NOAA 15
20/02/2023 19:26:38 => 19:37:02 | SARSAT-13 | METOP-B
20/02/2023 19:43:31 => 19:56:48 | SARSAT-12 | NOAA 19
20/02/2023 20:25:04 => 20:33:17 | SARSAT-07 | NOAA 15
20/02/2023 20:43:56 => 20:55:53 | SARSAT-10 | NOAA 18
20/02/2023 21:05:06 => 21:17:50 | SARSAT-13 | METOP-B
20/02/2023 21:28:00 => 21:35:20 | SARSAT-12 | NOAA 19
20/02/2023 22:24:16 => 22:36:41 | SARSAT-10 | NOAA 18
20/02/2023 22:50:27 => 22:54:41 | SARSAT-13 | METOP-B
21/02/2023 02:22:38 => 02:34:01 | COSPAS-14 | METEOR M2-2
21/02/2023 04:02:17 => 04:14:29 | COSPAS-14 | METEOR M2-2
21/02/2023 05:45:28 => 05:48:27 | COSPAS-14 | METEOR M2-2
21/02/2023 06:56:14 => 07:07:56 | SARSAT-07 | NOAA 15
21/02/2023 08:04:15 => 08:16:53 | SARSAT-12 | NOAA 19
21/02/2023 08:35:55 => 08:47:51 | SARSAT-07 | NOAA 15
21/02/2023 09:05:08 => 09:13:31 | SARSAT-10 | NOAA 18
21/02/2023 09:21:02 => 09:33:37 | SARSAT-13 | METOP-B
21/02/2023 09:45:10 => 09:56:55 | SARSAT-12 | NOAA 19
21/02/2023 10:44:06 => 10:57:23 | SARSAT-10 | NOAA 18
21/02/2023 11:01:37 => 11:12:36 | SARSAT-13 | METOP-B
21/02/2023 12:09:55 => 12:14:34 | COSPAS-14 | METEOR M2-2
21/02/2023 12:25:54 => 12:35:27 | SARSAT-10 | NOAA 18
21/02/2023 13:44:44 => 13:57:06 | COSPAS-14 | METEOR M2-2
21/02/2023 15:25:35 => 15:36:35 | COSPAS-14 | METEOR M2-2
21/02/2023 16:42:05 => 16:47:32 | SARSAT-07 | NOAA 15
21/02/2023 17:53:44 => 18:02:55 | SARSAT-12 | NOAA 19
21/02/2023 18:17:12 => 18:29:37 | SARSAT-07 | NOAA 15
21/02/2023 19:07:00 => 19:15:49 | SARSAT-13 | METOP-B
